village_code,village_name,subdistrict_code,num_households,centre_lat,centre_lng
645012,Mus,638,365,9.2415153,92.7817156
645013,Teetop,638,135,9.2086292,92.7394109
645014,Sawai,638,286,26.0377772,76.3521514
645015,Arong,638,233,9.1615122,92.7518495
645017,Kakana,638,231,8.1862921,93.5110855
645019,Malacca,638,368,9.1720399,92.8215666
645020,Perka,638,711,9.1776097,92.8165834
645021,Tamaloo,638,379,9.1928319,92.8153376
645022,Kinyuka,638,309,9.2080571,92.814092
645023,Chuckchucha,638,231,9.2163963,92.8091095
645024,Tapoiming,638,214,9.224775,92.7991463
645025,Big Lapati,638,271,9.2303868,92.7891851
645026,Small Lapati,638,242,9.214499,92.7860727
645027,Kinmai,638,152,9.2117895,92.7786037
645028,Tahaila,638,119,20.593684,78.96288
645044,Bengali,638,150,22.9867569,87.8549755
645079,Mildera,638,403,20.593684,78.96288
645082,Japan Tikri,638,116,29.2297489,77.3518265
645127,Kamorta/Kalatapu(Incl.Sanuh),638,513,13.0254181,77.1413259
645195,Joginder Nagar,638,208,31.9912388,76.7899135
645199,Govinda Nagar,638,194,12.0308549,92.9956836
645200,Campbell Bay,638,1608,7.007565,93.9047849
